Price,A,ABBV,ABT,ACN,ADBE,AES,AFL,AMD,AOS,MMM
2023-08-23,117.8716812133789,140.48687744140625,102.50562286376952,309.0691223144531,530.7100219726562,17.401010513305664,71.57850646972656,109.43000030517578,68.54280090332031,79.7021484375
2023-08-24,118.22787475585938,140.0570526123047,101.16007232666016,307.8930053710937,512.4299926757812,16.83110809326172,72.69371795654297,101.8000030517578,67.38702392578125,78.78235626220703
2023-08-25,118.41587829589844,140.11436462402344,101.60858154296876,312.4211120605469,525.0599975585938,17.154054641723633,72.63502502441406,102.25,68.31752014160156,79.14228057861328
2023-08-28,118.65333557128906,140.82119750976562,100.22403717041016,314.52838134765625,529.9199829101562,17.021076202392578,72.95785522460938,102.61000061035156,69.25780487060547,83.27735137939453
2023-08-29,120.7311553955078,140.97402954101562,101.27708435058594,317.0178527832031,540.5700073242188,17.29652976989746,73.0361099243164,105.91999816894533,70.3841781616211,84.43709564208984
2023-08-30,121.38418579101562,141.6713104248047,101.80360412597656,316.8218078613281,545.3599853515625,17.306026458740234,73.05567169189453,106.58999633789062,70.81513977050781,83.54129791259766
2023-08-31,119.79119110107422,140.3722686767578,100.331298828125,317.3314514160156,559.3400268554688,17.030574798583984,72.94806671142578,105.72000122070312,71.01103973388672,85.31689453125
2023-09-01,120.62232208251952,141.55665588378906,100.28253936767578,321.2225341796875,563.2100219726562,16.992582321166992,73.14370727539062,109.4499969482422,72.05906677246094,85.54084777832031
2023-09-05,117.47591400146484,139.55081176757812,98.3617172241211,319.6739501953125,564.8800048828125,16.565156936645508,72.58610534667969,110.77999877929688,70.46253204345703,85.46086120605469
2023-09-06,116.69425201416016,139.08277893066406,99.02474212646484,319.8111267089844,561.9400024414062,16.555654525756836,72.61546325683594,109.27999877929688,70.37438201904297,85.07694244384766
2023-09-07,115.03199005126952,142.23486328125,98.15696716308594,321.6733703613281,560.4600219726562,16.137727737426758,73.02632141113281,106.58999633789062,70.24705505371094,84.74102020263672
2023-09-08,112.78596496582033,142.33993530273438,98.21546173095705,318.9976806640625,560.3599853515625,16.403682708740234,73.20240783691406,106.08999633789062,68.74848175048828,84.97296905517578
2023-09-11,111.9053726196289,142.35902404785156,99.89251708984376,319.38970947265625,564.5,16.375186920166016,73.94587707519531,105.31999969482422,69.06190490722656,86.29267120361328
2023-09-12,111.58873748779295,142.57870483398438,99.8437728881836,308.6280822753906,542.2100219726562,16.175722122192383,74.611083984375,105.30999755859376,66.86791229248047,85.70880126953125
2023-09-13,112.2318878173828,144.3839874267578,100.12653350830078,307.66754150390625,553.5599975585938,16.137727737426758,74.72847747802734,107.70999908447266,65.74153137207031,80.82190704345703
2023-09-14,113.66657257080078,146.75282287597656,100.08753967285156,310.2942810058594,552.1599731445312,16.517662048339844,75.62846374511719,106.62999725341795,66.34880065917969,81.83767700195312
2023-09-15,114.6856918334961,145.3009490966797,99.20025634765624,306.31500244140625,528.8900146484375,16.375186920166016,74.84586334228516,101.48999786376952,65.39871978759766,80.82989501953125
2023-09-18,111.49970245361328,147.03936767578125,98.47872161865234,309.598388671875,532.4199829101562,16.22321319580078,75.2469482421875,102.37000274658205,65.78070068359375,80.81390380859375
2023-09-19,111.12371063232422,146.6095428466797,98.15696716308594,311.01953125,541.6900024414062,15.919264793395996,75.68716430664062,101.61000061035156,65.6337890625,80.16605377197266
2023-09-20,111.28203582763672,146.7241668701172,97.77668762207033,310.50006103515625,535.780029296875,15.947763442993164,75.47195434570312,100.33999633789062,64.98733520507812,79.17426300048828
2023-09-21,108.57096862792967,146.55223083496094,96.46039581298828,305.7955322265625,513.8800048828125,15.60581874847412,74.50348663330078,96.11000061035156,63.831581115722656,77.97453308105469
2023-09-22,110.23322296142578,145.89317321777344,95.69986724853516,309.80419921875,512.9000244140625,15.15939712524414,74.65021514892578,96.1999969482422,63.18513488769531,77.61461639404297
2023-09-25,110.75762176513672,147.717529296875,95.03684997558594,310.686279296875,511.6000061035156,15.4253511428833,75.1197738647461,97.37999725341795,63.14595413208008,75.81501770019531
2023-09-26,109.5604019165039,147.01071166992188,93.82780456542967,304.43316650390625,506.2999877929688,15.064413070678713,74.77738952636719,95.95999908447266,64.12541198730469,75.0871810913086
2023-09-27,109.33283233642578,146.26568603515625,93.14527130126952,308.1282043457031,502.6000061035156,15.130902290344238,75.35455322265625,98.06999969482422,64.10582733154297,74.75125885009766
2023-09-28,110.81698608398438,145.42514038085938,95.67062377929688,294.7888488769531,504.6700134277344,14.133572578430176,75.98063659667969,102.76000213623048,65.11466979980469,74.59129333496094
2023-09-29,110.63890075683594,142.3781280517578,94.43231964111328,301.0027770996094,509.8999938964844,14.437520027160645,75.08064270019531,102.81999969482422,64.77185821533203,74.87923431396484
2023-10-02,109.94983673095705,141.6044158935547,93.34027862548828,302.12994384765625,521.1300048828125,13.449688911437988,74.80673217773438,103.2699966430664,64.69349670410156,72.15984344482422
2023-10-03,109.31532287597656,140.82119750976562,93.3987808227539,300.1402893066406,507.0299987792969,12.860790252685549,73.78936004638672,100.08000183105467,64.0274658203125,71.0160903930664
2023-10-04,110.71324157714844,141.06954956054688,93.26227569580078,303.2374572753906,518.4199829101562,12.537845611572266,74.41543579101562,104.06999969482422,64.87960052490234,70.40023803710938
2023-10-05,109.40455627441406,140.84030151367188,93.7985382080078,303.5020751953125,516.4400024414062,11.977442741394045,74.77738952636719,102.91000366210938,64.71308898925781,70.2482681274414
2023-10-06,109.69206237792967,141.59487915039062,94.4615707397461,305.9817810058594,526.6799926757812,11.825469017028809,75.91215515136719,107.23999786376952,65.90804290771484,70.70417022705078
2023-10-09,110.32658386230467,142.42588806152344,94.34456634521484,305.8053283691406,529.2899780273438,12.04393196105957,76.48932647705078,106.97000122070312,67.22051239013672,71.22404479980469
2023-10-10,112.31936645507812,142.2157440185547,95.12458801269533,306.1091613769531,532.719970703125,12.34787940979004,77.10562133789062,109.01000213623048,67.83758544921875,72.49575805664062
2023-10-11,112.40859985351562,142.6455535888672,90.3274154663086,307.59527587890625,549.9099731445312,12.71831512451172,78.0643081665039,108.30999755859376,69.6299819946289,72.29580688476562
2023-10-12,108.0066375732422,143.07005310058594,88.42538452148438,299.544677734375,559.6300048828125,12.395371437072754,78.12300109863281,108.79000091552734,68.49382781982422,71.2000503540039
2023-10-13,109.5631866455078,142.74205017089844,89.09207153320312,297.05474853515625,548.760009765625,12.499852180480955,78.50450897216797,105.08999633789062,68.81704711914062,70.92811584472656
2023-10-16,110.5447006225586,142.0377960205078,90.37643432617188,300.5091857910156,550.739990234375,13.022263526916504,79.32624816894531,106.45999908447266,70.42337036132812,71.9358901977539
2023-10-17,111.43699645996094,143.91900634765625,90.33722686767578,303.3731384277344,560.0900268554688,13.060256958007812,79.62950897216797,105.13999938964844,70.35479736328125,72.42378234863281
2023-10-18,107.67945861816406,144.01548767089844,93.69029235839844,298.9640197753906,557.8699951171875,13.174236297607422,78.60234832763672,102.16999816894533,67.06380462646484,70.70417022705078
2023-10-19,108.57174682617188,140.3881072998047,93.5726547241211,298.14715576171875,555.739990234375,13.14574146270752,77.81974029541016,102.4000015258789,65.6337890625,69.63240814208984
2023-10-20,108.29415130615234,141.0730438232422,94.8864288330078,292.3011169433594,540.9600219726562,13.136241912841797,75.8926010131836,101.80999755859376,65.29097747802734,69.22449493408203
2023-10-23,108.40320587158205,139.62596130371094,93.90599822998048,290.27374267578125,540.4099731445312,13.29771614074707,75.48174285888672,100.01000213623048,65.0265121459961,68.46466827392578
2023-10-24,104.7349090576172,141.15023803710938,92.9549789428711,291.405517578125,539.5599975585938,13.801129341125488,76.06867980957031,101.66999816894533,65.27139282226562,72.0798568725586
2023-10-25,102.51410675048828,140.13726806640625,91.73924255371094,288.0494689941406,521.1400146484375,13.943605422973633,76.55780792236328,96.05999755859376,63.851173400878906,71.4959945678711
